"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"18395",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11349,12,NA,"C0","132-14 87TH STREET                       ","            ",11417,"3","0","3"," 3,500 "," 3,260 ",1920,1,"C0"," 940,000 ","3/29/2017",940000,3260,3500,0,FALSE
"18397",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11385,61,NA,"C0","79-19 149 AVENUE                         ","            ",11414,"3","0","3"," 3,502 "," 2,392 ",1965,1,"C0"," 600,000 ","5/5/2016",6e+05,2392,3502,0,FALSE
"18398",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11397,58,NA,"C0","137-18 88TH   STREET                     ","            ",11417,"3","0","3"," 5,380 "," 3,705 ",1978,1,"C0"," 250,000 ","12/21/2016",250000,3705,5380,0,FALSE
"18399",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11476,40,NA,"C0","109-02 110TH STREET                      ","            ",11420,"3","0","3"," 2,890 "," 2,466 ",1925,1,"C0"," 615,000 ","2/8/2017",615000,2466,2890,0,FALSE
"18400",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11482,4,NA,"C0","110-57 107 STREET                        ","            ",11417,"3","0","3"," 2,158 "," 2,008 ",1925,1,"C0"," 690,000 ","1/12/2017",690000,2008,2158,0,FALSE
"18401",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",11482,29,NA,"C0","110-15 107TH STREET                      ","            ",11417,"3","0","3"," 2,200 "," 2,008 ",1920,1,"C0"," 220,000 ","11/4/2016",220000,2008,2200,0,FALSE
"18447",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2A",9000,37,NA,"C3","95-23 75TH   STREET                      ","            ",11416,"4","0","4"," 2,000 "," 3,100 ",1920,2,"C3"," 615,000 ","3/31/2017",615000,3100,2000,0,FALSE
"18448",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2A",9060,44,NA,"C3","97-15 87 STREET                          ","            ",11416,"4","0","4"," 2,500 "," 1,977 ",1930,2,"C3"," 500,000 ","1/31/2017",5e+05,1977,2500,0,FALSE
"18449",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2A",9087,12,NA,"C3","87-02 101 AVENUE                         ","            ",11416,"4","0","4"," 3,000 "," 2,420 ",1931,2,"C3"," 740,000 ","7/26/2016",740000,2420,3000,0,FALSE
"18450",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2A",9101,59,NA,"C3","101-27 94TH   STREET                     ","            ",11416,"4","0","4"," 5,004 "," 3,684 ",1931,2,"C3"," 915,000 ","8/30/2016",915000,3684,5004,0,FALSE
"18452",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2A",9157,1,NA,"C2","90-02 LIBERTY AVENUE                     ","            ",11417,"6","0","6"," 2,220 "," 3,600 ",1931,2,"C2"," 910,000 ","5/20/2016",910000,3600,2220,0,FALSE
"18454",4,"OZONE PARK               ","07  RENTALS - WALKUP APARTMENTS             ","2B",11544,6,NA,"C1","93-05 149TH AVENUE                       ","            ",11417,"7","0","7"," 6,450 "," 3,306 ",1963,2,"C1"," 940,000 ","1/20/2017",940000,3306,6450,0,FALSE
"18460",4,"OZONE PARK               ","21  OFFICE BUILDINGS                        ","1",9166,358,NA,"S2","109-15 CROSSBAY BOULEVARD                ","            ",11417,"2","1","3"," 1,244 "," 3,150 ",1960,4,"O2"," 665,000 ","6/9/2016",665000,3150,1244,0,FALSE
"18463",4,"OZONE PARK               ","22  STORE BUILDINGS                         ","4",9078,68,NA,"K1","77-08 101ST   AVENUE                     ","            ",11416,"0","1","1"," 2,054 "," 934 ",1932,4,"K1"," 395,000 ","5/11/2016",395000,934,2054,0,FALSE
